Date,JPP915,JPDH,JPClose,NKD,NKN,JPResid,JPVol,USDH,USP1000,USClose,SPD,SPN,USResid,USVol,NKDSPNSE,SPDNKNSE,NKDSPNOLS,SPDNKNOLS
2013-12-10,15610,0,15625,0.00096046109512455,-0.00545485068296381,0.000629275740944271,0.00728416211296612,0,1805.25,1802.25,-0.00166320204660309,-0.00179868606086161,-0.00211043120035432,0.0036698165504651,0.0276111237799015,0.594177017193264,0.438526908315461,0.599448510380054
2013-12-11,15540,0,15493,-0.00302903592534657,-0.0136472094684555,-0.00312524839275115,0.00650630517407077,0,1797,1781.25,-0.00880324276659835,-0.00291727650112899,-0.00322273778558732,0.00363087747377572,0.0270841897112995,0.613294120516684,0.446975733956856,0.612124685044688
2013-12-12,15283,0,15358,0.00489541136265255,-0.00345693851097601,0.00462037733829659,0.00596742590670291,0,1778.25,1775.5,-0.00154766123048199,-0.00168563040333616,-0.00199801065049396,0.00515754371094192,0.0272538762289449,0.605572476735467,0.443443866196378,0.60487867395099
2013-12-13,15305,0,15463,0.0102705010959175,-0.00863838060957068,0.0102178987504084,0.00569738811818839,0,1774.25,1775,0.000422624504423819,-0.000704274978050279,-0.0010221681412922,0.00485961020641286,0.0268074598436709,0.613583489235056,0.419172590591642,0.601192729908397
2013-12-16,15330,1,15220,-0.00720134045018304,0.00556921996383614,-0.00736704252283846,0.00674006241264081,1,1791.5,1786.5,-0.00279485928154401,0.00925283483549223,0.00912495877938779,0.00454230999512444,0.0261102132320737,0.610234815537337,0.385277240322635,0.595482191262681
2013-12-17,15305,0,15288,-0.00111136545940389,0.0120283625695637,-0.00128605657836563,0.00764786837670569,0,1784,1780.25,-0.00210423027772057,-0.00140036432350979,-0.00171434709705019,0.00444045703724056,0.0279699739054703,0.604617460349555,0.386301026418956,0.57238862635948
2013-12-18,15473,0,15575,0.0065704951659812,0.0146592809940641,0.00685590360852342,0.00684485007356378,0,1782.75,1811.25,0.0158600987264792,0.00140331204617877,0.0010735791864261,0.00430355106414199,0.0268832399658804,0.610107394931224,0.402971953973727,0.581584636955178
2013-12-20,15805,0,15835,0.00189633432302201,0.0059814439313541,0.00223917005130693,0.00679010697362952,0,1811,1813.25,0.0012416363601083,0.000966784137176377,0.000639503540557632,0.00698753392179048,0.0278402378487847,0.611422285963282,0.392710927969997,0.57352735756531
2013-12-23,15930,1,15880,-0.00314366810296753,0.00958864238771054,-0.0029902508773576,0.00614033693694917,1,1819.75,1822.25,0.00137287226395494,0.00357831375484562,0.00348231519972517,0.00639902040890492,0.0262548029164686,0.612774415123377,0.388674556890072,0.572397363482601
2013-12-27,16108,1,16175,0.00415079739775661,0.00542574855934665,0.00442990850641464,0.00667946870715086,0,1838.25,1836,-0.00122473989589582,0.000952445816609608,0.000625245767727223,0.00553442727199227,0.0249748905443841,0.609806171840818,0.403848811587801,0.539432959012158
2013-12-31,16263,0,16253,-0.000615081825271927,-0.0156887848812576,-0.00079290461614899,0.00716946250223157,0,1838.75,1842.75,0.0021730281537509,0.00176906897875825,0.00143728142279201,0.00480470898423437,0.0268760926812815,0.612138827006696,0.40846825671602,0.521996911988654
2014-01-03,16000,1,15873,-0.00796916964967692,0.00565399169223754,-0.00828876687048338,0.00640835338992637,0,1831.5,1824.25,-0.00396635957313956,0.00273373598353191,0.00239652926126831,0.00453540161168541,0.0252964268857267,0.608605372211848,0.371420511867905,0.503386009166544
2014-01-06,15963,1,15895,-0.00426894991957589,0.00207397239912917,-0.00444179065419105,0.00759821833120142,1,1826,1820.5,-0.00301659353942568,0.000958838509184315,0.000877555261934679,0.00462486884856365,0.0247931196292188,0.611453665871391,0.354759480371751,0.495748900300168
2014-01-08,15928,0,16093,0.0103058280744627,-0.0137648422462535,0.0100548432252314,0.00785957339342508,0,1828.75,1831.75,0.00163912070573909,-0.00122959234017668,-0.00154453445178092,0.00426729930191648,0.0263513042992529,0.607192704634457,0.340195942409091,0.476261835974419
2014-01-09,15873,0,15925,0.00327064886812271,-0.00883007944827204,0.00299304717345041,0.00824294776739151,0,1836.75,1832.5,-0.00231655073958024,0.00272591146031361,0.00238874869352097,0.00407522802936635,0.0284613740984681,0.610909055902049,0.3400781593273,0.485557318029705
2014-01-13,15785,1,15598,-0.0119174211016486,0.00715475135922358,-0.0120873075472911,0.00746148282887227,1,1834.25,1813,-0.0116527468392525,-0.00149812762102199,-0.00156560848052469,0.00392592813830481,0.0270966819461952,0.613388349781632,0.344795833238048,0.438420803297775
2014-01-15,15710,0,15770,0.00381194870741731,0.00713995387807102,0.00367186632571212,0.0091466631688052,0,1838.75,1842.5,0.00203735214784445,0.0031320240759423,0.00279257990863668,0.00653238008244469,0.0281977200846425,0.608576000738916,0.349206053513852,0.436383863170592
2014-01-16,15883,0,15735,-0.00936182433664782,-0.00286396377142897,-0.00918311933277524,0.0083016630693111,0,1839.25,1840,0.00040769179065757,-0.00176546525111786,-0.00207739701365422,0.00603130272937725,0.0272502271283802,0.613745103564295,0.352177852823294,0.426683255208675
2014-01-17,15690,0,15750,0.00381679852670081,-0.0111733005981252,0.00377713954328501,0.00839430025631684,0,1836,1832,-0.00218102594636023,-0.00217627942259552,-0.00248590337290078,0.00555366941788678,0.0281474565165778,0.606971432101209,0.342714027417188,0.431740041666198
2014-01-22,15780,0,15808,0.00177282558778375,0.00643170134418353,0.00166690447428685,0.00787442976823331,0,1838.5,1839.25,0.000407858071047088,0.000271997825694332,-5.13797012180594E-05,0.00497110342197017,0.0271443120551559,0.613351199909745,0.347758877975084,0.432892731631926
2014-01-23,15910,0,15690,-0.0139242756047542,-0.0184612711026206,-0.0137610302290719,0.00705950120380919,0,1823.5,1823.5,0,-0.00860014856363888,-0.00887368543417929,0.00463777408755896,0.0279502136943441,0.605522320136897,0.379958564761605,0.421358831929598
2014-01-24,15403,0,15430,0.00175137073274895,-0.0312679742931581,0.00137125610594113,0.00865733905654826,0,1808.75,1784.25,-0.0136378400945169,-0.00812173230304128,-0.00839795675101795,0.0043540442990614,0.0274990482138125,0.612819270213136,0.338991426092083,0.495465209115648
2014-01-27,14955,1,14985,0.00200400868671526,0.00319808387707077,0.00134435129769325,0.00773845028631538,1,1788.5,1775.75,-0.00715441082115312,0.00237912084789572,0.00228985894464915,0.00709311861974378,0.0263914416412617,0.613229218864233,0.341344782944062,0.501797700540319
2014-01-28,15033,0,14995,-0.00253097244472484,0.0162067380575278,-0.00275742036021872,0.0077547066289681,0,1784.5,1786,0.000840218506229355,0.00491539505229562,0.00456593252233956,0.00714475210053268,0.0277592285028315,0.610620997696,0.343675450312614,0.495638181980458
2014-01-29,15240,0,15358,0.00771296064985152,-0.0317528991392022,0.00808957403468806,0.00701837601205915,0,1775.25,1768.5,-0.00380952841666773,-0.00603722437424135,-0.00632515886833593,0.00652860035928969,0.0272198363601158,0.612970243765251,0.313033985678766,0.496951668316456
2014-01-30,14878,0,15008,0.00869978049471934,0.00597889245356432,0.00802953824018489,0.0071717941691746,0,1780.5,1788.75,0.0046228281528283,0.00676249407229717,0.0064026551775359,0.00622389483863838,0.0276777825468854,0.609674126591808,0.280140876122345,0.507750315999328
2014-01-31,15098,0,14868,-0.0153510322824274,-0.00844285856732306,-0.0151976707500852,0.00727822975751953,0,1769.25,1776,0.00380791659622129,-0.0109613239147666,-0.0112215965170967,0.00598885264934131,0.0273834259933287,0.612652301995472,0.346502620595381,0.48940350403444
2014-02-03,14743,1,14570,-0.0118037736605692,-0.028684784855116,-0.0119652079079342,0.00922850536415102,1,1770.63,1736.75,-0.0193198648694344,-0.00302822910969061,-0.00308711438711378,0.00571010147160809,0.0270700888295764,0.613467076222093,0.360435709783327,0.555082637771467
2014-02-05,14158,0,14145,-0.000918630598467022,0.0066937012302992,-0.00184101290551402,0.0103145049112043,0,1740.25,1746.25,0.00344185052239567,-0.00501541496982622,-0.0053090896364978,0.00872088609364646,0.028199014915514,0.611998431104606,0.331985254683981,0.555780355372272
2014-02-06,14240,0,14150,-0.00634028189458305,0.0159846364724331,-0.00617131762538259,0.00921822208431693,0,1759.25,1769,0.00552683331312706,0.00741695027548666,0.0070534348716483,0.00801879491695801,0.0276669624022046,0.613994847370568,0.317464135279254,0.565031912300234
2014-02-07,14378,0,14515,0.00948333691491351,0.00638672637601942,0.0098551023002559,0.00863321387229215,0,1780,1791.75,0.00657943158789784,0.0061989491263456,0.00584227603259445,0.00760177353728081,0.0280619621459995,0.611283932029167,0.305356841787807,0.560241619922647
2014-02-10,14608,1,14705,0.00661824815334575,-0.00579711768432596,0.00678051182228876,0.00879065981716101,1,1791.75,1794.75,0.00167294058256374,0,-7.5896823428909E-05,0.00739297856744611,0.0272603779117506,0.612508778202244,0.298911965297436,0.553196229031324
